[2025-10-05 08:59:16.998384] Error scanning token ETHFI: 'NoneType' object has no attribute 'get'
[2025-10-07 17:31:42.196644] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23527340 to 23527385
[2025-10-07 17:39:29.804690] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23527386 to 23527424
[2025-10-07 17:52:58.878116] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23527434 to 23527492
[2025-10-07 18:02:18.621263] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23527493 to 23527537
[2025-10-07 18:06:14.243297] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23527538 to 23527557
[2025-10-07 18:24:23.580017] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23527558 to 23527647
[2025-10-07 18:29:57.081888] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23527648 to 23527675
[2025-10-07 18:41:28.311989] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23527676 to 23527731
[2025-10-07 18:48:55.870460] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23527732 to 23527769
[2025-10-07 18:53:45.590325] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23527770 to 23527793
[2025-10-08 12:27:48.136415] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23532862 to 23533025
[2025-10-08 14:18:06.123140] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23533338 to 23533572
[2025-10-08 14:38:22.690200] Warn: khong the lay block moi nhat: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
[2025-10-08 14:38:22.791747] Bo qua ETHFI do latest_block=0
[2025-10-08 15:18:14.471266] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23533772 to 23533870
[2025-10-08 15:20:58.675226] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23533871 to 23533884
[2025-10-08 15:29:56.971441] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23533885 to 23533929
[2025-10-08 15:44:04.038253] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23533930 to 23533999
[2025-10-08 15:58:35.172322] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534000 to 23534070
