[2025-10-05 08:59:17.507091] Error scanning token EIGEN: 'NoneType' object has no attribute 'get'
[2025-10-07 18:43:22.936925] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23527682 to 23527737
[2025-10-08 02:12:37.922922] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23527738 to 23527800
[2025-10-08 12:29:43.548913] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23532891 to 23533031
[2025-10-08 14:20:33.521624] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23533365 to 23533580
[2025-10-08 14:41:33.770139] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23533605 to 23533684
[2025-10-08 15:21:06.372932] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23533800 to 23533879
[2025-10-08 15:23:58.972807] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23533880 to 23533893
[2025-10-08 15:32:05.516933] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23533894 to 23533936
[2025-10-08 16:00:49.090740] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23533937 to 23534078
[2025-10-08 16:19:48.675830] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23534079 to 23534173
[2025-10-08 16:35:24.660830] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23534174 to 23534247
[2025-10-08 16:44:52.729720] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23534248 to 23534296
[2025-10-08 16:50:35.232225] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23534297 to 23534325
[2025-10-08 17:07:35.456904] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23534326 to 23534406
[2025-10-08 17:24:00.588988] Warn: khong the lay block moi nhat: HTTPSConnectionPool(host='api.etherscan.io', port=443): Read timed out. (read timeout=10)
[2025-10-08 17:24:00.653630] Bo qua EIGEN do latest_block=0
[2025-10-08 17:46:24.687560] Token: EIGEN | Whale txs found: 4 | Blocks scanned: 23534407 to 23534599
[2025-10-08 17:52:29.357461] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23534600 to 23534629
[2025-10-08 19:33:23.062964] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23534857 to 23535130
[2025-10-08 19:37:27.462911] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23535131 to 23535150
[2025-10-08 19:53:33.163475] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23535151 to 23535231
[2025-10-08 23:52:01.910721] Token: EIGEN | Whale txs found: 4 | Blocks scanned: 23535232 to 23536414
[2025-10-09 00:08:40.714063] Token: EIGEN | Whale txs found: 3 | Blocks scanned: 23536415 to 23536497
[2025-10-09 00:13:00.886709] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23536498 to 23536520
[2025-10-09 00:40:45.785606] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23536521 to 23536662
[2025-10-09 01:32:36.420239] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23536836 to 23536917
[2025-10-10 19:31:26.850062] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23549294 to 23549421
[2025-10-10 19:44:04.681014] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23549422 to 23549485
[2025-10-11 07:47:02.243012] Token: EIGEN | Whale txs found: 9 | Blocks scanned: 23549486 to 23553076
[2025-10-11 08:47:35.624663] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23553077 to 23553378
[2025-10-11 09:04:52.799003] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23553379 to 23553464
[2025-10-11 09:31:04.997928] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23553465 to 23553596
[2025-10-11 09:50:58.684360] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23553597 to 23553695
[2025-10-11 10:29:09.038624] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23553696 to 23553885
[2025-10-11 10:47:58.897617] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23553886 to 23553979
[2025-10-11 11:22:47.517419] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23553980 to 23554153
[2025-10-11 12:07:55.181865] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23554154 to 23554378
[2025-10-11 12:19:58.608941] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23554379 to 23554436
[2025-10-11 12:33:19.178165] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23554437 to 23554500
[2025-10-11 13:21:50.838953] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23554501 to 23554744
[2025-10-11 14:30:25.411362] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23554745 to 23555086
[2025-10-11 14:59:01.019201] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23555087 to 23555227
[2025-10-11 15:06:07.128113] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23555228 to 23555263
[2025-10-11 15:14:51.756185] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23555267 to 23555305
[2025-10-11 15:35:32.745004] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23555306 to 23555408
[2025-10-11 15:54:42.974986] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23555409 to 23555503
[2025-10-11 16:29:15.268545] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23555504 to 23555674
[2025-10-11 16:44:08.852013] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23555675 to 23555748
