[2025-10-05 08:59:17.970822] Error scanning token ONDO: 'NoneType' object has no attribute 'get'
[2025-10-08 15:32:37.946136] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23533890 to 23533943
[2025-10-08 16:01:25.741461] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23533944 to 23534084
[2025-10-08 16:20:18.278906] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23534085 to 23534179
[2025-10-08 16:36:16.827663] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23534180 to 23534257
[2025-10-08 16:51:09.024656] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23534258 to 23534332
[2025-10-08 17:08:15.938986] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23534333 to 23534415
[2025-10-08 17:24:45.432851] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23534416 to 23534496
[2025-10-08 17:47:09.156790] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23534497 to 23534607
[2025-10-08 17:53:11.077092] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23534608 to 23534636
[2025-10-08 19:34:03.411449] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23534888 to 23535137
[2025-10-08 19:37:57.889268] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23535138 to 23535157
[2025-10-08 19:54:07.831650] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23535158 to 23535238
[2025-10-08 23:52:43.155608] Token: ONDO | Whale txs found: 2 | Blocks scanned: 23535239 to 23536422
[2025-10-09 00:09:19.868878] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23536423 to 23536505
[2025-10-09 00:13:38.398298] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23536506 to 23536526
[2025-10-09 00:41:22.993930] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23536527 to 23536665
[2025-10-09 01:33:09.273511] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23536865 to 23536924
[2025-10-10 19:32:11.948850] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23549301 to 23549430
[2025-10-10 19:44:43.521804] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23549431 to 23549493
[2025-10-11 07:47:35.836279] Token: ONDO | Whale txs found: 59 | Blocks scanned: 23549494 to 23553083
[2025-10-11 08:48:21.547373] Token: ONDO | Whale txs found: 3 | Blocks scanned: 23553084 to 23553386
[2025-10-11 09:05:44.878472] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23553387 to 23553473
[2025-10-11 09:51:54.714537] Token: ONDO | Whale txs found: 3 | Blocks scanned: 23553474 to 23553703
[2025-10-11 10:30:23.540904] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23553704 to 23553896
[2025-10-11 10:48:45.873566] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23553897 to 23553987
[2025-10-11 11:23:44.308654] Token: ONDO | Whale txs found: 2 | Blocks scanned: 23553988 to 23554160
[2025-10-11 12:08:43.281005] Token: ONDO | Whale txs found: 3 | Blocks scanned: 23554161 to 23554386
[2025-10-11 12:20:59.255133] Token: ONDO | Whale txs found: 3 | Blocks scanned: 23554387 to 23554447
[2025-10-11 12:34:21.226812] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23554448 to 23554511
[2025-10-11 13:22:38.408738] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23554512 to 23554752
[2025-10-11 14:31:06.823498] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23554753 to 23555093
[2025-10-11 15:00:05.966371] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23555094 to 23555235
[2025-10-11 15:15:36.820513] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23555300 to 23555313
[2025-10-11 15:36:32.143356] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23555314 to 23555418
[2025-10-11 15:55:29.010286] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23555419 to 23555510
[2025-10-11 16:29:59.570295] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23555515 to 23555681
[2025-10-11 16:53:25.704656] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23555682 to 23555798
[2025-10-11 17:02:46.736628] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23555799 to 23555844
[2025-10-11 17:14:30.909734] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23555845 to 23555902
[2025-10-11 18:34:29.659331] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23556076 to 23556297
[2025-10-12 04:14:53.027279] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23559132 to 23559185
[2025-10-12 07:02:43.665088] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23559918 to 23560022
[2025-10-12 07:19:46.949451] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23560023 to 23560106
[2025-10-12 08:04:17.058506] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23560107 to 23560325
[2025-10-12 09:57:12.583028] Token: ONDO | Whale txs found: 5 | Blocks scanned: 23560326 to 23560890
[2025-10-12 14:59:45.659843] Token: ONDO | Whale txs found: 4 | Blocks scanned: 23562101 to 23562393
[2025-10-12 15:38:42.919485] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23562394 to 23562587
[2025-10-12 16:31:50.600851] Token: ONDO | Whale txs found: 3 | Blocks scanned: 23562588 to 23562852
[2025-10-12 17:06:08.755003] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23562853 to 23563024
[2025-10-12 17:42:45.186722] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23563025 to 23563205
[2025-10-13 14:59:38.922716] Token: ONDO | Whale txs found: 10 | Blocks scanned: 23568061 to 23569538
[2025-10-13 16:01:48.793588] Token: ONDO | Whale txs found: 4 | Blocks scanned: 23569539 to 23569846
[2025-10-13 18:07:30.758510] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23570034 to 23570462
