asset,date,AdrActCnt,BlkCnt,DiffMean,FeeTotUSD,HashRate,IssTotUSD,PriceUSD,TxCnt
btc,2009-03-09T00:00:00.000000000Z,108,108,1,,0.00000536870912,,,0
btc,2009-03-10T00:00:00.000000000Z,107,107,1,,0.00000531899885037037,,,0
btc,2009-03-11T00:00:00.000000000Z,114,114,1,,0.00000566697073777778,,,0
btc,2009-03-12T00:00:00.000000000Z,122,118,1,,0.0000058658118162963,,,1
btc,2009-03-13T00:00:00.000000000Z,127,113,1,,0.00000561726046814815,,,1
btc,2009-03-14T00:00:00.000000000Z,110,110,1,,0.00000546812965925926,,,0
btc,2009-03-15T00:00:00.000000000Z,123,123,1,,0.00000611436316444444,,,0
btc,2009-03-16T00:00:00.000000000Z,170,121,1,,0.00000601494262518518,,,1
btc,2009-03-17T00:00:00.000000000Z,114,114,1,,0.00000566697073777778,,,0
btc,2009-03-18T00:00:00.000000000Z,129,114,1,,0.00000566697073777778,,,2
btc,2009-03-19T00:00:00.000000000Z,122,122,1,,0.00000606465289481481,,,0
btc,2009-03-20T00:00:00.000000000Z,131,118,1,,0.0000058658118162963,,,1
btc,2009-03-21T00:00:00.000000000Z,50,50,1,,0.00000248551348148148,,,0
btc,2009-03-22T00:00:00.000000000Z,131,119,1,,0.00000591552208592593,,,2
btc,2009-03-23T00:00:00.000000000Z,130,130,1,,0.00000646233505185185,,,0
btc,2009-03-24T00:00:00.000000000Z,105,105,1,,0.00000521957831111111,,,0
btc,2009-03-25T00:00:00.000000000Z,117,117,1,,0.00000581610154666667,,,0
btc,2009-03-26T00:00:00.000000000Z,146,117,1,,0.00000581610154666667,,,1
btc,2009-03-27T00:00:00.000000000Z,106,106,1,,0.00000526928858074074,,,0
btc,2009-03-28T00:00:00.000000000Z,140,119,1,,0.00000591552208592593,,,3
btc,2009-03-29T00:00:00.000000000Z,116,116,1,,0.00000576639127703704,,,0
btc,2009-03-30T00:00:00.000000000Z,120,120,1,,0.00000596523235555556,,,0
btc,2009-03-31T00:00:00.000000000Z,143,110,1,,0.00000546812965925926,,,1
btc,2009-04-01T00:00:00.000000000Z,114,114,1,,0.00000566697073777778,,,0
btc,2009-04-02T00:00:00.000000000Z,115,115,1,,0.00000571668100740741,,,0
btc,2009-04-03T00:00:00.000000000Z,116,116,1,,0.00000576639127703704,,,0
btc,2009-04-04T00:00:00.000000000Z,113,113,1,,0.00000561726046814815,,,0
btc,2009-04-05T00:00:00.000000000Z,148,130,1,,0.00000646233505185185,,,2
btc,2009-04-06T00:00:00.000000000Z,109,109,1,,0.00000541841938962963,,,0
btc,2009-04-07T00:00:00.000000000Z,100,100,1,,0.00000497102696296296,,,0
btc,2009-04-08T00:00:00.000000000Z,105,105,1,,0.00000521957831111111,,,0
btc,2009-04-09T00:00:00.000000000Z,99,99,1,,0.00000492131669333333,,,0
btc,2009-04-10T00:00:00.000000000Z,108,108,1,,0.00000536870912,,,0
btc,2009-04-11T00:00:00.000000000Z,128,120,1,,0.00000596523235555556,,,1
btc,2009-04-12T00:00:00.000000000Z,127,118,1,,0.0000058658118162963,,,2
btc,2009-04-13T00:00:00.000000000Z,117,115,1,,0.00000571668100740741,,,1
btc,2009-04-14T00:00:00.000000000Z,124,124,1,,0.00000616407343407407,,,0
btc,2009-04-15T00:00:00.000000000Z,113,113,1,,0.00000561726046814815,,,0
btc,2009-04-16T00:00:00.000000000Z,123,123,1,,0.00000611436316444444,,,0
btc,2009-04-17T00:00:00.000000000Z,112,112,1,,0.00000556755019851852,,,0
btc,2009-04-18T00:00:00.000000000Z,131,126,1,,0.00000626349397333333,,,4
btc,2009-04-19T00:00:00.000000000Z,128,119,1,,0.00000591552208592593,,,1
btc,2009-04-20T00:00:00.000000000Z,236,119,1,,0.00000591552208592593,,,2
btc,2009-04-21T00:00:00.000000000Z,125,123,1,,0.00000611436316444444,,,1
btc,2009-04-22T00:00:00.000000000Z,121,121,1,,0.00000601494262518518,,,0
btc,2009-04-23T00:00:00.000000000Z,75,75,1,,0.00000372827022222222,,,0
btc,2009-04-24T00:00:00.000000000Z,115,115,1,,0.00000571668100740741,,,0
btc,2009-04-25T00:00:00.000000000Z,118,118,1,,0.0000058658118162963,,,0
btc,2009-04-26T00:00:00.000000000Z,128,112,1,,0.00000556755019851852,,,2
btc,2009-04-27T00:00:00.000000000Z,104,104,1,,0.00000516986804148148,,,0
btc,2009-04-28T00:00:00.000000000Z,117,117,1,,0.00000581610154666667,,,0
btc,2009-04-29T00:00:00.000000000Z,149,128,1,,0.00000636291451259259,,,1
btc,2009-04-30T00:00:00.000000000Z,131,131,1,,0.00000651204532148148,,,0
btc,2009-05-01T00:00:00.000000000Z,121,121,1,,0.00000601494262518518,,,0
btc,2009-05-02T00:00:00.000000000Z,142,126,1,,0.00000626349397333333,,,2
btc,2009-05-03T00:00:00.000000000Z,110,106,1,,0.00000526928858074074,,,3
btc,2009-05-04T00:00:00.000000000Z,159,128,1,,0.00000636291451259259,,,1
btc,2009-05-05T00:00:00.000000000Z,146,135,1,,0.0000067108864,,,1
btc,2009-05-06T00:00:00.000000000Z,135,135,1,,0.0000067108864,,,0
btc,2009-05-07T00:00:00.000000000Z,122,122,1,,0.00000606465289481481,,,0
btc,2009-05-08T00:00:00.000000000Z,107,107,1,,0.00000531899885037037,,,0
btc,2009-05-09T00:00:00.000000000Z,78,78,1,,0.00000387740103111111,,,0
btc,2009-05-10T00:00:00.000000000Z,85,85,1,,0.00000422537291851852,,,0
btc,2009-05-11T00:00:00.000000000Z,123,120,1,,0.00000596523235555556,,,1
btc,2009-05-12T00:00:00.000000000Z,130,130,1,,0.00000646233505185185,,,0
btc,2009-05-13T00:00:00.000000000Z,117,111,1,,0.00000551783992888889,,,5
btc,2009-05-14T00:00:00.000000000Z,145,139,1,,0.00000690972747851852,,,3
