Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
4vv5iRqiv1SLdVz7TKtu2XTMbVg6r1L1RBc6nHzcnR6NnpNjorAxWqkYwQtZqwqQt2aLLyR2ArqnTnpk3pKLJVKq,1759102223,2025-09-28T23:30:23.000Z,TRANSFER,FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1008000000000,in,211634.3,9,SOL,1.0
2asUL9skQWAZgyorjt2sHCzt4DjMnFSNS1eyxTtBp9YCnNcF3FmzVr1jvaQ7LEjJawHmwKkBZdcj6Sh5qzzwbtQM,1759102098,2025-09-28T23:28:18.000Z,TRANSFER,43DbAvKxhXh1oSxkJSqGosNw3HpBnmsWiak6tB5wpecN,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,2964997000000,in,622514.95,9,SOL,1.0
31QnnhipSJxKEH8LrPnFFvwbUmr9S4h6YAuRk4vqASRoQYYe7Sbk7NqKcHCT5QGN6838pQtwTNhVX8nBCMuUaXXh,1759102073,2025-09-28T23:27:53.000Z,TRANSFER,44P5Ct5JkPz76Rs2K6juC65zXMpFRDrHatxcASJ4Dyra,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,18746000000000,in,3935810.14,9,SOL,1.0
3qd5S3AhcNqyqk5JFAcfrEWTozXT8XXMeufD7ewpwz1rsd5uebvCAPVkobzxtzqSD4LDViaagHRoSdx4dTFVZB3f,1759101411,2025-09-28T23:16:51.000Z,TRANSFER,FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1606000000000,in,337074.6,9,SOL,1.0
btraYRmiCM7JosCoosozUgfdC3NKqCHfCbPpewjXbDPbQTWFWxMitvszxSus4rXqvsmvfKWj8vLHZHQjmM9tLQn,1759101381,2025-09-28T23:16:21.000Z,TRANSFER,3bwCjRXv4LASkv7DbLRJi7fDXgRRfEZhEstDVoZsjEHR,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,827000000000,in,173815.3,9,SOL,1.0
5wxpuJr2S2zPCqfsaSccFPLvZucWCGWpWLdmGoYGbMzJGyFJyzU8idPw6VDpwzbNt3ZfUeT4H1Jw56bfHxtYjGHn,1759100595,2025-09-28T23:03:15.000Z,TRANSFER,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1175999761000,in,246769.07,9,SOL,1.0
2xps6r35qU39Gt8yBPXc5FrW1AgSCUH5VGS9VrjUcfEuR1FL1Hr5zDrVA6yiGc8FFGX8qQySf5m14FrSW81fRKmk,1759100343,2025-09-28T22:59:03.000Z,TRANSFER,3bwCjRXv4LASkv7DbLRJi7fDXgRRfEZhEstDVoZsjEHR,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,850000000000,in,178124.87,9,SOL,1.0
KfuZxuQWy92JVh8zaMx1RFR5hRhza8aXbEJfMhxQvr2qoiY4H49DhgqxUr5JscHg7pPvbwtghFivj1ZpioT7a6y,1759100159,2025-09-28T22:55:59.000Z,TRANSFER,iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,2499992000000,in,523895.01,9,SOL,1.0
637sPt8JqQbjS6gFh5LrLQtcy2o8BYCRLbqvMJLhz64BFB1QcQZxTXSoc4xRCiYgQ4e9MW6Nvtb2AgPjNYRcaQAp,1759100059,2025-09-28T22:54:19.000Z,TRANSFER,FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,2297000000000,in,481597.23,9,SOL,1.0
3Y4boChvYRP9RcWebPhAXeSxQ1UrK7TRzD21gctYAu1CttBixPnEg5HeN14K7zWoFRgPJR99CGDpy64xuEoY8n3v,1759099404,2025-09-28T22:43:24.000Z,TRANSFER,3bwCjRXv4LASkv7DbLRJi7fDXgRRfEZhEstDVoZsjEHR,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,852000000000,in,178480.02,9,SOL,1.0
